Type:          average
Points:        1350
Count:         16
XInc:          7.407407E-012
XOrg:          1.04125000000E-007
YData range:   1.60798E+002
YData center:  9.99998E-002
Coupling:      50 Ohms
XRange:        1.00000E-008
XOffset:       1.04125000000E-007
YRange:        1.60000E+002
YOffset:       1.00000E-001
Date:          14 JUN 2023
Time:          13:50:01:82
Frame:         86100D:MY50260121
X Units:       second
Y Units:       Volt
XY Data:
1.08650926E-007, -1.9145E+000
1.08658333E-007, -1.9475E+000
1.08665741E-007, -1.9652E+000
1.08673148E-007, -1.9373E+000
1.08680556E-007, -1.9272E+000
1.08687963E-007, -1.9196E+000
1.08695370E-007, -1.9196E+000
1.08702778E-007, -1.9196E+000
1.08710185E-007, -1.9196E+000
1.08717593E-007, -1.9019E+000
1.08725000E-007, -1.9019E+000
1.08732407E-007, -1.9196E+000
1.08739815E-007, -1.9019E+000
1.08747222E-007, -1.8943E+000
1.08754630E-007, -1.8968E+000
1.08762037E-007, -1.9069E+000
1.08769444E-007, -1.9272E+000
1.08776852E-007, -1.8689E+000
1.08784259E-007, -1.8588E+000
1.08791667E-007, -1.8816E+000
1.08799074E-007, -1.8943E+000
1.08806481E-007, -1.8740E+000
1.08813889E-007, -1.8968E+000
1.08821296E-007, -1.8436E+000
1.08828704E-007, -1.8360E+000
1.08836111E-007, -1.8588E+000
1.08843519E-007, -1.8639E+000
1.08850926E-007, -1.8765E+000
1.08858333E-007, -1.8537E+000
1.08865741E-007, -1.8284E+000
1.08873148E-007, -1.8284E+000
1.08880556E-007, -1.8360E+000
1.08887963E-007, -1.8182E+000
1.08895370E-007, -1.7929E+000
1.08902778E-007, -1.8613E+000
1.08910185E-007, -1.8157E+000
1.08917593E-007, -1.8030E+000
1.08925000E-007, -1.8081E+000
1.08932407E-007, -1.7853E+000
1.08939815E-007, -1.7726E+000
1.08947222E-007, -1.7726E+000
1.08954630E-007, -1.7954E+000
1.08962037E-007, -1.7600E+000
1.08969444E-007, -1.7777E+000
1.08976852E-007, -1.7625E+000
1.08984259E-007, -1.7270E+000
1.08991667E-007, -1.7144E+000
1.08999074E-007, -1.7372E+000
1.09006481E-007, -1.7042E+000
1.09013889E-007, -1.7093E+000
1.09021296E-007, -1.7118E+000
1.09028704E-007, -1.6814E+000
1.09036111E-007, -1.6941E+000
1.09043519E-007, -1.6941E+000
1.09050926E-007, -1.6839E+000
1.09058333E-007, -1.6839E+000
1.09065741E-007, -1.6763E+000
1.09073148E-007, -1.6789E+000
1.09080556E-007, -1.6029E+000
1.09087963E-007, -1.6510E+000
1.09095370E-007, -1.6181E+000
1.09102778E-007, -1.6434E+000
1.09110185E-007, -1.6358E+000
1.09117593E-007, -1.6282E+000
1.09125000E-007, -1.6434E+000
1.09132407E-007, -1.5877E+000
1.09139815E-007, -1.6105E+000
1.09147222E-007, -1.5902E+000
1.09154630E-007, -1.6003E+000
1.09162037E-007, -1.5902E+000
1.09169444E-007, -1.5471E+000
1.09176852E-007, -1.5750E+000
1.09184259E-007, -1.5902E+000
1.09191667E-007, -1.5370E+000
1.09199074E-007, -1.5572E+000
1.09206481E-007, -1.5167E+000
1.09213889E-007, -1.5167E+000
1.09221296E-007, -1.5218E+000
1.09228704E-007, -1.5623E+000
1.09236111E-007, -1.5040E+000
1.09243519E-007, -1.5142E+000
1.09250926E-007, -1.5091E+000
1.09258333E-007, -1.5091E+000
1.09265741E-007, -1.5040E+000
1.09273148E-007, -1.4964E+000
1.09280556E-007, -1.4914E+000
1.09287963E-007, -1.5040E+000
1.09295370E-007, -1.4559E+000
1.09302778E-007, -1.4686E+000
1.09310185E-007, -1.5142E+000
1.09317593E-007, -1.5066E+000
1.09325000E-007, -1.4711E+000
1.09332407E-007, -1.4457E+000
1.09339815E-007, -1.4356E+000
1.09347222E-007, -1.4610E+000
1.09354630E-007, -1.4508E+000
1.09362037E-007, -1.4204E+000
1.09369444E-007, -1.4407E+000
1.09376852E-007, -1.4305E+000
1.09384259E-007, -1.4128E+000
1.09391667E-007, -1.3900E+000
1.09399074E-007, -1.4052E+000
1.09406481E-007, -1.4103E+000
1.09413889E-007, -1.4280E+000
1.09421296E-007, -1.4052E+000
1.09428704E-007, -1.4052E+000
1.09436111E-007, -1.4128E+000
1.09443519E-007, -1.3672E+000
1.09450926E-007, -1.4128E+000
1.09458333E-007, -1.3571E+000
1.09465741E-007, -1.3621E+000
1.09473148E-007, -1.3368E+000
1.09480556E-007, -1.3723E+000
1.09487963E-007, -1.3495E+000
1.09495370E-007, -1.3672E+000
1.09502778E-007, -1.3241E+000
1.09510185E-007, -1.3672E+000
1.09517593E-007, -1.3495E+000
1.09525000E-007, -1.2886E+000
1.09532407E-007, -1.3089E+000
1.09539815E-007, -1.3520E+000
1.09547222E-007, -1.2658E+000
1.09554630E-007, -1.3140E+000
1.09562037E-007, -1.2962E+000
1.09569444E-007, -1.2836E+000
