Type:          raw
Points:        1350
Count:         1
XInc:          1.4814815E-011
XOrg:          4.5980000000E-008
YData range:   8.07981E+001
YData center:  1.39000E+001
Coupling:      50 Ohms
XRange:        2.00000E-008
XOffset:       4.5980000000E-008
YRange:        8.00000E+001
YOffset:       1.39000E+001
Date:          14 JUN 2023
Time:          11:33:47:68
Frame:         86100D:MY50260121
X Units:       second
Y Units:       Volt
XY Data:
5.1891111E-008, 9.968E+000
5.1905926E-008, 8.891E+000
5.1920741E-008, 8.570E+000
5.1935556E-008, 8.407E+000
5.1950370E-008, 7.844E+000
5.1965185E-008, 7.602E+000
5.1980000E-008, 7.118E+000
5.1994815E-008, 7.039E+000
5.2009630E-008, 6.556E+000
5.2024444E-008, 6.232E+000
5.2039259E-008, 6.232E+000
5.2054074E-008, 5.313E+000
5.2068889E-008, 5.239E+000
5.2083704E-008, 4.786E+000
5.2098519E-008, 4.559E+000
5.2113333E-008, 4.029E+000
5.2128148E-008, 3.877E+000
5.2142963E-008, 3.423E+000
5.2157778E-008, 3.197E+000
5.2172593E-008, 3.046E+000
5.2187407E-008, 2.825E+000
5.2202222E-008, 2.754E+000
5.2217037E-008, 2.614E+000
5.2231852E-008, 2.336E+000
5.2246667E-008, 2.125E+000
5.2261481E-008, 2.265E+000
5.2276296E-008, 2.125E+000
5.2291111E-008, 2.265E+000
5.2305926E-008, 2.265E+000
5.2320741E-008, 2.196E+000
5.2335556E-008, 2.545E+000
5.2350370E-008, 2.336E+000
5.2365185E-008, 2.405E+000
5.2380000E-008, 2.336E+000
5.2394815E-008, 2.405E+000
5.2409630E-008, 2.196E+000
5.2424444E-008, 2.405E+000
5.2439259E-008, 2.336E+000
5.2454074E-008, 2.265E+000
5.2468889E-008, 2.405E+000
5.2483704E-008, 2.405E+000
5.2498519E-008, 2.336E+000
5.2513333E-008, 2.405E+000
5.2528148E-008, 2.476E+000
5.2542963E-008, 2.336E+000
5.2557778E-008, 2.405E+000
5.2572593E-008, 2.476E+000
5.2587407E-008, 2.405E+000
5.2602222E-008, 2.336E+000
5.2617037E-008, 2.476E+000
5.2631852E-008, 2.405E+000
5.2646667E-008, 2.476E+000
5.2661481E-008, 2.545E+000
5.2676296E-008, 2.336E+000
5.2691111E-008, 2.196E+000
5.2705926E-008, 2.265E+000
5.2720741E-008, 2.196E+000
5.2735556E-008, 2.125E+000
5.2750370E-008, 2.125E+000
5.2765185E-008, 2.196E+000
5.2780000E-008, 2.125E+000
5.2794815E-008, 2.196E+000
5.2809630E-008, 2.265E+000
5.2824444E-008, 2.336E+000
5.2839259E-008, 2.196E+000
5.2854074E-008, 2.336E+000
5.2868889E-008, 2.265E+000
5.2883704E-008, 2.336E+000
5.2898519E-008, 2.405E+000
5.2913333E-008, 2.405E+000
5.2928148E-008, 2.196E+000
5.2942963E-008, 2.336E+000
5.2957778E-008, 2.405E+000
5.2972593E-008, 2.405E+000
5.2987407E-008, 2.405E+000
5.3002222E-008, 2.545E+000
5.3017037E-008, 2.476E+000
5.3031852E-008, 2.336E+000
5.3046667E-008, 2.545E+000
5.3061481E-008, 2.336E+000
5.3076296E-008, 2.336E+000
5.3091111E-008, 2.196E+000
5.3105926E-008, 2.405E+000
5.3120741E-008, 2.405E+000
5.3135556E-008, 2.265E+000
5.3150370E-008, 2.196E+000
5.3165185E-008, 2.336E+000
5.3180000E-008, 2.265E+000
5.3194815E-008, 2.265E+000
5.3209630E-008, 2.125E+000
5.3224444E-008, 2.196E+000
5.3239259E-008, 2.125E+000
5.3254074E-008, 2.196E+000
5.3268889E-008, 2.196E+000
5.3283704E-008, 2.125E+000
5.3298519E-008, 2.196E+000
5.3313333E-008, 1.916E+000
5.3328148E-008, 2.125E+000
5.3342963E-008, 2.056E+000
5.3357778E-008, 2.056E+000
5.3372593E-008, 1.916E+000
5.3387407E-008, 1.985E+000
5.3402222E-008, 1.985E+000
5.3417037E-008, 1.985E+000
5.3431852E-008, 1.916E+000
5.3446667E-008, 1.916E+000
5.3461481E-008, 1.985E+000
5.3476296E-008, 2.056E+000
5.3491111E-008, 1.916E+000
5.3505926E-008, 1.916E+000
5.3520741E-008, 1.776E+000
5.3535556E-008, 1.847E+000
5.3550370E-008, 1.847E+000
5.3565185E-008, 1.985E+000
5.3580000E-008, 2.056E+000
5.3594815E-008, 1.985E+000
5.3609630E-008, 1.985E+000
5.3624444E-008, 2.125E+000
5.3639259E-008, 1.916E+000
5.3654074E-008, 1.776E+000
5.3668889E-008, 1.847E+000
5.3683704E-008, 1.985E+000
5.3698519E-008, 1.916E+000
5.3713333E-008, 1.847E+000
5.3728148E-008, 1.916E+000
5.3742963E-008, 1.916E+000
5.3757778E-008, 1.916E+000
5.3772593E-008, 1.916E+000
5.3787407E-008, 1.916E+000
5.3802222E-008, 1.636E+000
5.3817037E-008, 1.985E+000
5.3831852E-008, 1.847E+000
5.3846667E-008, 1.847E+000
5.3861481E-008, 1.707E+000
5.3876296E-008, 1.776E+000
5.3891111E-008, 1.636E+000
5.3905926E-008, 1.636E+000
5.3920741E-008, 1.496E+000
5.3935556E-008, 1.496E+000
5.3950370E-008, 1.496E+000
5.3965185E-008, 1.707E+000
5.3980000E-008, 1.707E+000
5.3994815E-008, 1.427E+000
5.4009630E-008, 1.496E+000
5.4024444E-008, 1.567E+000
5.4039259E-008, 1.496E+000
5.4054074E-008, 1.567E+000
5.4068889E-008, 1.356E+000
5.4083704E-008, 1.356E+000
5.4098519E-008, 1.218E+000
5.4113333E-008, 1.356E+000
5.4128148E-008, 1.356E+000
5.4142963E-008, 1.356E+000
5.4157778E-008, 1.427E+000
5.4172593E-008, 1.287E+000
5.4187407E-008, 1.147E+000
5.4202222E-008, 1.147E+000
5.4217037E-008, 1.078E+000
5.4231852E-008, 1.007E+000
5.4246667E-008, 1.078E+000
5.4261481E-008, 1.078E+000
5.4276296E-008, 9.38E-001
5.4291111E-008, 9.38E-001
5.4305926E-008, 8.67E-001
5.4320741E-008, 1.078E+000
5.4335556E-008, 9.38E-001
