Type:          average
Points:        1350
Count:         16
XInc:          3.7037037E-011
XOrg:          2.4050000000E-008
YData range:   1.60798E+002
YData center:  9.99998E-002
Coupling:      50 Ohms
XRange:        5.00000E-008
XOffset:       2.4050000000E-008
YRange:        1.60000E+002
YOffset:       1.00000E-001
Date:          14 JUN 2023
Time:          13:37:56:15
Frame:         86100D:MY50260121
X Units:       second
Y Units:       Volt
XY Data:
3.9235185E-008, -3.9924E+000
3.9272222E-008, -4.0608E+000
3.9309259E-008, -4.0811E+000
3.9346296E-008, -4.1343E+000
3.9383333E-008, -4.1597E+000
3.9420370E-008, -4.1723E+000
3.9457407E-008, -4.2357E+000
3.9494444E-008, -4.2180E+000
3.9531481E-008, -4.2357E+000
3.9568519E-008, -4.2408E+000
3.9605556E-008, -4.2737E+000
3.9642593E-008, -4.2534E+000
3.9679630E-008, -4.2281E+000
3.9716667E-008, -4.2560E+000
3.9753704E-008, -4.2230E+000
3.9790741E-008, -4.2053E+000
3.9827778E-008, -4.1850E+000
3.9864815E-008, -4.1698E+000
3.9901852E-008, -4.1850E+000
3.9938889E-008, -4.1647E+000
3.9975926E-008, -4.1343E+000
4.0012963E-008, -4.1470E+000
4.0050000E-008, -4.1622E+000
4.0087037E-008, -4.1394E+000
4.0124074E-008, -4.1622E+000
4.0161111E-008, -4.1445E+000
4.0198148E-008, -4.1166E+000
4.0235185E-008, -4.1419E+000
4.0272222E-008, -4.1419E+000
4.0309259E-008, -4.1419E+000
4.0346296E-008, -4.1723E+000
4.0383333E-008, -4.1622E+000
4.0420370E-008, -4.1850E+000
4.0457407E-008, -4.2256E+000
4.0494444E-008, -4.1825E+000
4.0531481E-008, -4.1774E+000
4.0568519E-008, -4.2180E+000
4.0605556E-008, -4.2306E+000
4.0642593E-008, -4.2484E+000
4.0679630E-008, -4.2661E+000
4.0716667E-008, -4.2889E+000
4.0753704E-008, -4.3066E+000
4.0790741E-008, -4.3016E+000
4.0827778E-008, -4.2940E+000
4.0864815E-008, -4.3497E+000
4.0901852E-008, -4.3294E+000
4.0938889E-008, -4.3142E+000
4.0975926E-008, -4.3142E+000
4.1012963E-008, -4.3396E+000
4.1050000E-008, -4.3523E+000
4.1087037E-008, -4.3396E+000
4.1124074E-008, -4.3497E+000
4.1161111E-008, -4.3649E+000
4.1198148E-008, -4.3345E+000
4.1235185E-008, -4.3472E+000
4.1272222E-008, -4.3294E+000
4.1309259E-008, -4.3320E+000
4.1346296E-008, -4.3852E+000
4.1383333E-008, -4.3751E+000
4.1420370E-008, -4.3928E+000
4.1457407E-008, -4.3649E+000
4.1494444E-008, -4.4080E+000
4.1531481E-008, -4.3751E+000
4.1568519E-008, -4.3801E+000
4.1605556E-008, -4.4004E+000
4.1642593E-008, -4.4333E+000
4.1679630E-008, -4.3725E+000
4.1716667E-008, -4.3979E+000
4.1753704E-008, -4.3852E+000
4.1790741E-008, -4.4460E+000
4.1827778E-008, -4.3979E+000
4.1864815E-008, -4.4435E+000
4.1901852E-008, -4.3852E+000
4.1938889E-008, -4.4156E+000
4.1975926E-008, -4.4587E+000
4.2012963E-008, -4.4942E+000
4.2050000E-008, -4.4333E+000
4.2087037E-008, -4.4308E+000
4.2124074E-008, -4.4207E+000
4.2161111E-008, -4.4257E+000
4.2198148E-008, -4.4714E+000
4.2235185E-008, -4.4511E+000
4.2272222E-008, -4.4511E+000
4.2309259E-008, -4.4511E+000
4.2346296E-008, -4.4764E+000
4.2383333E-008, -4.4181E+000
4.2420370E-008, -4.4790E+000
4.2457407E-008, -4.4435E+000
4.2494444E-008, -4.4992E+000
4.2531481E-008, -4.5068E+000
4.2568519E-008, -4.4916E+000
4.2605556E-008, -4.4460E+000
4.2642593E-008, -4.5018E+000
4.2679630E-008, -4.4840E+000
4.2716667E-008, -4.4916E+000
4.2753704E-008, -4.5474E+000
4.2790741E-008, -4.5043E+000
4.2827778E-008, -4.5170E+000
4.2864815E-008, -4.4967E+000
4.2901852E-008, -4.5119E+000
4.2938889E-008, -4.5144E+000
4.2975926E-008, -4.4891E+000
4.3012963E-008, -4.5448E+000
4.3050000E-008, -4.5094E+000
4.3087037E-008, -4.5018E+000
4.3124074E-008, -4.5195E+000
4.3161111E-008, -4.4866E+000
4.3198148E-008, -4.4942E+000
4.3235185E-008, -4.4587E+000
4.3272222E-008, -4.4561E+000
4.3309259E-008, -4.4333E+000
4.3346296E-008, -4.4283E+000
4.3383333E-008, -4.4561E+000
4.3420370E-008, -4.4511E+000
4.3457407E-008, -4.4131E+000
4.3494444E-008, -4.3776E+000
4.3531481E-008, -4.4207E+000
4.3568519E-008, -4.3269E+000
4.3605556E-008, -4.3066E+000
4.3642593E-008, -4.3320E+000
4.3679630E-008, -4.2636E+000
4.3716667E-008, -4.2154E+000
4.3753704E-008, -4.2382E+000
4.3790741E-008, -4.1799E+000
4.3827778E-008, -4.1470E+000
4.3864815E-008, -4.0989E+000
4.3901852E-008, -4.0786E+000
4.3938889E-008, -4.0431E+000
4.3975926E-008, -4.0102E+000
4.4012963E-008, -3.9367E+000
4.4050000E-008, -3.9063E+000
4.4087037E-008, -3.8074E+000
4.4124074E-008, -3.7998E+000
4.4161111E-008, -3.7213E+000
4.4198148E-008, -3.6275E+000
4.4235185E-008, -3.5921E+000
4.4272222E-008, -3.5287E+000
4.4309259E-008, -3.3969E+000
4.4346296E-008, -3.3412E+000
4.4383333E-008, -3.2424E+000
4.4420370E-008, -3.1334E+000
4.4457407E-008, -3.0320E+000
4.4494444E-008, -2.9307E+000
4.4531481E-008, -2.8420E+000
4.4568519E-008, -2.6899E+000
4.4605556E-008, -2.5835E+000
4.4642593E-008, -2.5202E+000
4.4679630E-008, -2.3985E+000
4.4716667E-008, -2.3048E+000
4.4753704E-008, -2.1907E+000
4.4790741E-008, -2.0894E+000
4.4827778E-008, -2.0488E+000
4.4864815E-008, -1.9855E+000
4.4901852E-008, -1.9449E+000
4.4938889E-008, -1.8030E+000
4.4975926E-008, -1.7980E+000
4.5012963E-008, -1.7473E+000
4.5050000E-008, -1.6713E+000
4.5087037E-008, -1.6231E+000
4.5124074E-008, -1.6130E+000
4.5161111E-008, -1.5851E+000
4.5198148E-008, -1.5370E+000
4.5235185E-008, -1.4990E+000
4.5272222E-008, -1.4939E+000
4.5309259E-008, -1.4432E+000
4.5346296E-008, -1.4432E+000
4.5383333E-008, -1.3317E+000
4.5420370E-008, -1.3520E+000
4.5457407E-008, -1.2810E+000
4.5494444E-008, -1.2608E+000
4.5531481E-008, -1.2101E+000
4.5568519E-008, -1.1797E+000
4.5605556E-008, -1.1290E+000
4.5642593E-008, -1.0530E+000
4.5679630E-008, -1.0048E+000
4.5716667E-008, -9.972E-001
4.5753704E-008, -9.364E-001
4.5790741E-008, -8.781E-001
4.5827778E-008, -8.350E-001
4.5864815E-008, -7.717E-001
4.5901852E-008, -7.083E-001
4.5938889E-008, -6.323E-001
4.5975926E-008, -6.247E-001
4.6012963E-008, -5.538E-001
4.6050000E-008, -4.727E-001
4.6087037E-008, -4.372E-001
4.6124074E-008, -3.865E-001
4.6161111E-008, -3.561E-001
4.6198148E-008, -2.852E-001
4.6235185E-008, -2.522E-001
4.6272222E-008, -2.142E-001
4.6309259E-008, -1.078E-001
4.6346296E-008, -7.74E-002
4.6383333E-008, -5.46E-002
4.6420370E-008, -3.18E-002
4.6457407E-008, 3.16E-002
4.6494444E-008, 6.71E-002
4.6531481E-008, 7.72E-002
4.6568519E-008, 1.405E-001
4.6605556E-008, 1.279E-001
4.6642593E-008, 1.684E-001
4.6679630E-008, 1.912E-001
4.6716667E-008, 2.419E-001
4.6753704E-008, 2.520E-001
4.6790741E-008, 3.331E-001
4.6827778E-008, 3.357E-001
4.6864815E-008, 3.534E-001
4.6901852E-008, 3.939E-001
4.6938889E-008, 3.965E-001
4.6975926E-008, 4.218E-001
4.7012963E-008, 4.345E-001
4.7050000E-008, 4.548E-001
4.7087037E-008, 4.750E-001
4.7124074E-008, 5.181E-001
4.7161111E-008, 5.384E-001
4.7198148E-008, 5.080E-001
4.7235185E-008, 5.789E-001
4.7272222E-008, 6.093E-001
4.7309259E-008, 5.587E-001
4.7346296E-008, 6.321E-001
4.7383333E-008, 6.271E-001
4.7420370E-008, 6.347E-001
4.7457407E-008, 6.549E-001
4.7494444E-008, 6.702E-001
4.7531481E-008, 7.284E-001
4.7568519E-008, 7.335E-001
4.7605556E-008, 7.512E-001
4.7642593E-008, 7.563E-001
4.7679630E-008, 8.095E-001
4.7716667E-008, 8.019E-001
4.7753704E-008, 7.842E-001
4.7790741E-008, 8.121E-001
4.7827778E-008, 8.323E-001
4.7864815E-008, 8.602E-001
